employee_id,full_name,email,department,hire_date,salary_sar,national_id,performance_rating
1000,Lama Al-Otaibi,lama.otaibi@company.com,HR,09/04/2022,23559,1644854973,4
1001,Yousef Al-Qahtani,yousef.qahtani@company.com,Human Resources,2025-02-02,24528,1773701293,4
1002,Omar Al-Harbi,omar.harbi_company.com,IT,2022-09-30,10726,1701571670,2
1003,Hind Al-Malki,hind.malki@company.com,Internal Audit,02/02/2024,29334,1321146487,5
1004,Rima Al-Malki,rima.malki@company.com,Data & Intelligence,2024-01-11,11890,1716782763,5
1005,Reem Al-Shahri,reem.shahri@company.com,HR,30/05/2022,19701,1625020128,5
1006,Lama Al-Ghamdi,lama.ghamdi@company.com,HR,2025-04-02,8253,1609059210,1
1007,Reem Al-Zahrani,reem.zahrani@company.com,finance,2025-10-27,15325,70515,3
1008,Hind Al-Qahtani,hind.qahtani@company.com,Internal Audit,2023-03-23,10238,68875,5
1009,Bandar Al-Otaibi,bandar.otaibi@company.com,IT,2025-01-31,19608,1508495730,2
1010,Faisal Al-Otaibi,faisal.otaibi@company.com,finance,23/04/2023,25304,1256418835,5
1011,Faisal Al-Amri,faisal.amri@company.com,Internal Audit,2025-09-03,7769,1830761951,4
1012,Yousef Al-Dosari,,Human Resources,2025-07-23,12245,1274271721,2
1013,Omar Al-Malki,,Finance,2022-07-27,-26110,1759351559,5
1014,Hind Al-Ghamdi,hind.ghamdi@company.com,finance,2022-08-25,21269,1254744982,5
1015,Rima Al-Otaibi,rima.otaibi@company.com,Finance,2023-02-25,23309,1129036651,2
1016,Reem Al-Zahrani,reem.zahrani@company.com,Information Technology,2022-12-09,13300,1453975088,4
1017,Maha Al-Dosari,maha.dosari@company.com,Data & Intelligence,2023-04-10,,1129997207,5
1018,Noura Al-Malki,noura.malki@company.com,Information Technology,2024-07-04,29695,23389,3
1019,Noura Al-Ghamdi,noura.ghamdi@company.com,HR,2025-07-02,25997,1801129838,2
1020,Bandar Al-Dosari,bandar.dosari@company.com,Internal Audit,2026-03-17,11849,1193146944,3
1021,Yousef Al-Qahtani,yousef.qahtani@company.com,Data & Intelligence,2022-12-15,6902,1965974909,5
1022,Faisal Al-Amri,faisal.amri@company.com,Information Technology,13/02/2022,29801,1249519330,4
1023,Omar Al-Zahrani,omar.zahrani@company.com,finance,2024-10-23,25216,1995710061,3
